game_id,pot_size,num_players,has_flop,has_turn,has_river,has_raise,has_all_in,did_show,is_bluff,winner
787021407,42.29,8,1,1,1,1,0,1,0,kid4life
787021203,1.25,9,0,0,0,1,0,0,1,Spagetti1
787021174,30.92,9,1,1,1,1,0,1,0,VegetablesArentYummy
787021151,1.19,9,1,0,0,0,0,0,1,BlueSmoke
787021150,5.23,4,1,1,1,0,0,1,1,Parcker
787021027,1.25,9,0,0,0,1,0,0,1,DRofBooya
787020894,2.14,4,1,0,0,1,0,0,1,jjeannin1
787020853,0.5,9,0,0,0,0,0,0,0,haroldbb
787020820,4.52,9,1,0,0,1,0,0,1,choiCES
787020808,2.5,9,0,0,0,1,0,0,1,VegetablesArentYummy
787020651,5.0,5,0,0,0,1,0,0,1,VegetablesArentYummy
787020603,0.5,8,0,0,0,0,0,0,0,IlxxxlI
787020558,11.72,4,1,1,1,1,0,1,0,trader063
787020554,4.0,5,0,0,0,1,0,0,1,VegetablesArentYummy
787020501,6.95,9,1,1,0,1,0,0,1,DRofBooya
787020250,6.09,4,1,1,1,1,0,0,1,jjeannin1
787020168,32.3,5,1,1,1,1,0,0,1,IlxxxlI
787020036,103.0,7,1,1,1,1,0,1,0,IlxxxlI
787020035,2.5,9,0,0,0,1,0,0,1,ElvenEyes
787019881,9.55,4,1,0,0,1,0,0,1,jjeannin1
787019874,22.8,9,1,1,1,1,0,1,1,ElvenEyes
787019816,2.5,9,0,0,0,1,0,0,1,dankmann
787019718,33.33,5,1,0,0,1,0,0,1,AironVega
787019701,9.0,8,0,0,0,1,0,0,1,PANDAisEVIL
787019697,25.9,8,1,1,1,1,0,0,1,choiCES
787019645,2.5,9,0,0,0,1,0,0,1,StephCurry
787019588,5.7,9,1,0,0,1,0,0,1,AironVega
787019552,5.0,8,0,0,0,1,0,0,1,aleks0v
787019456,5.0,5,0,0,0,1,0,0,1,VegetablesArentYummy
787019433,3.46,4,1,1,1,0,0,1,0,Parcker
787019145,2.0,5,0,0,0,0,0,0,0,anarkopoker
787019120,2.5,9,0,0,0,1,0,0,1,StephCurry
787019109,4.75,9,1,0,0,1,0,0,1,VegetablesArentYummy
787019077,13.0,7,0,0,0,1,0,0,1,gust
787018892,2.5,9,0,0,0,1,0,0,1,dankmann
787018891,7.6,4,1,1,0,1,0,0,1,jjeannin1
787018830,28.09,8,1,1,1,1,0,1,0,hoocher
787018659,1.25,7,0,0,0,1,0,0,1,gorillaman68
787018645,95.8,6,1,1,1,1,0,1,0,VegetablesArentYummy
787018539,15.2,4,1,0,0,1,0,0,1,Jui
787018483,3.38,7,0,0,0,1,0,0,1,gorillaman68
787018439,13.97,7,1,1,1,1,0,1,0,pineapplesand
787018394,19.19,8,1,1,1,1,0,1,0,VegetablesArentYummy
787018388,4.28,9,1,1,1,1,0,1,0,StephCurry
787018376,1.25,7,0,0,0,1,0,0,1,IlxxxlI
787018351,4.0,6,0,0,0,1,0,0,1,VegetablesArentYummy
787018298,2.0,8,0,0,0,0,0,0,0,IlxxxlI
787018244,1.25,7,0,0,0,1,0,0,1,choiCES
787018202,4.18,4,1,0,0,1,0,0,1,jjeannin1
787018189,2.5,9,0,0,0,1,0,0,1,dankmann
787018157,2.0,8,0,0,0,1,0,0,1,IlxxxlI
787018133,5.0,8,0,0,0,1,0,0,1,IlxxxlI
787018043,1.25,7,0,0,0,1,0,0,1,Parcker
787018025,11.4,6,1,1,0,1,0,0,1,IlxxxlI
787018005,12.35,6,1,0,0,1,0,0,1,iBiNkUsTiNk
